"show_id","viewer_rating","rating_count"
"s2"," 4.5",643
"s3"," 4.3",1205
"s4"," 3.9",2524
"s5"," 4.8",298
"s6"," 4.1",23320
"s7"," 3.1",2839
"s8"," 4.1",2204
"s9","4.04664001930505 stars",2122
"s10"," 3.8",4451
"s11"," 2.8",11554
"s12"," 4.6",875
"s13"," 5.0",11186
"s14"," 3.9",487
"s15"," 4.0",921
"s16"," 2.4",3585
"s17"," 4.6",8934
"s18"," 4.7",2588
"s19"," 4.1",4119
"s20"," 2.7",1342
"s21"," 2.7",869
"s22"," 4.0",4683
"s23"," 3.8",1827
"s24"," 3.8",2962
"s25"," 5.0",4947
"s26","  NA",4229
"s27"," 3.3",753
" s28"," 4.6",1422
"s29"," 3.8",681
"s30"," 1.3",1398
"s31"," 4.7",16170
"s32"," 3.4",3275
"s33"," 3.0",7127
"s34"," 5.0",3752
"s35"," 2.7",4660
"s36"," 4.7",4262
"s37"," 4.1",1471
"s38"," 2.4",9363
"s39"," 4.0",34447
"s40"," 2.9",2441
"s41"," 3.6",1919
"s42","3.10797599111684 stars",1464
"s43"," 3.6",1553
"s44","  NA",1362
"s46"," 2.4",1400
"s47"," 3.1",3941
"s48"," 5.0",613
"s49"," 4.9",573
"s50"," 3.7",3667
" s51"," 3.4",1523
"s52"," 5.0",472
"s53"," 4.7",1953
"s54"," 3.2",8210
"s55"," 3.7",5942
"s56"," 2.7",22060
"s57"," 3.9",10632
"s58"," 5.0",5557
"s59"," 5.0",4080
"s60"," 3.8",3207
"s61"," 5.0",4184
"s62"," 2.5",2913
"s63","  NA",2712
"s64"," 4.6",1291
"s65"," 2.2",6723
"s66"," 3.7",1004
"s67"," 2.2",4924
"s68"," 3.1",603
"s69"," 4.3",17281
"s70"," 3.1",4629
"s72"," 5.0",3581
"s73"," 4.3",2837
"s74"," 4.4",3480
"s75"," 4.6",1635
"s77"," 3.6",3684
"s78","10.0",699
" s79"," 2.0",16053
"s80"," 4.0",1234
" s81"," 2.5",12336
"s82"," 4.1",6460
"s83"," 4.5",3764
"s84"," 1.9",1148
"s85"," 3.9",4467
"s86"," 6.0",7205
"s87"," 2.9",3810
"s88"," 3.8",6218
"s89"," 4.1",12212
"s90"," 2.1",14861
"s91","4.75654424850363 stars",6816
"s92"," 5.0",1748
"s93"," 2.3",2863
"s94","4.29987996679265 stars",7252
"s95"," 3.7",13138
"s96"," 4.1",11789
"s97"," 3.7",3532
"s98"," 3.0",2427
"s99"," 2.9",3828
"s100"," 4.1",1389
"s101"," 4.1",3989
"s102"," 3.7",1110
"s103"," 3.8",730
"s104"," 2.4",755
"s105"," 2.2",4246
"s106"," 3.2",17337
"s107"," 3.2",6773
"s108"," 4.1",6537
"s109"," 3.6",2484
"s110"," 1.7",23767
"s111"," 3.6",1123
"s112"," 3.8",11774
"s113"," 4.0",6354
"s114"," 2.9",847
"s115"," 1.5",3163
"s116"," 5.0",2980
"s117"," 4.8",2388
"s118"," 4.4",3574
"s119"," 2.9",2452
"s120"," 4.0",1686
"s121"," 4.6",755
"s122"," 3.4",2089
"s123"," 4.8",487
"s124"," 4.6",4222
"s125"," 3.8",1477
"s126"," 4.8",5252
"s127"," 4.3",5594
"s128"," 3.3",8175
"s129"," 2.6",10491
"s130"," 3.7",6214
"s131"," 3.7",757
"s132"," 3.0",7695
"s133"," 4.2",1698
